customer_id,segment,recency_days,frequency,monetary,cltv,R_score,F_score,M_score,RFM_score,churn_risk,channel,country,crm_action
1001,At-Risk,373,2,272,107.39,4,3,3,433,0,Social,China,Win-back campaign within 7 days
1002,At-Risk,95,2,1080,426.38,5,3,4,534,0,Search,China,Win-back campaign within 7 days
1003,Lost,1822,1,40,15.84,1,1,1,111,1,Social,UK,Suppress — flag for quarterly review
1004,At-Risk,522,2,2040,805.39,4,3,5,435,0,Social,UK,Win-back campaign within 7 days
1005,Lost,1821,1,600,237.6,1,1,4,114,1,Offline,China,Suppress — flag for quarterly review
1006,Promising,437,3,249,98.6,4,5,3,453,0,Social,India,Cross-sell — travel rewards / premium product
1007,Lost,1818,1,500,198.0,1,1,4,114,1,Search,UK,Suppress — flag for quarterly review
1008,At-Risk,413,2,1605,635.58,4,3,4,434,0,Social,India,Win-back campaign within 7 days
1009,Champions,616,2,7580,3001.68,3,3,5,335,0,Offline,Spain,Referral program + premium card upsell
1010,Lost,1816,1,1600,633.6,1,1,4,114,1,Search,UK,Suppress — flag for quarterly review
1011,At-Risk,119,2,170,67.52,5,3,2,532,0,Offline,USA,Win-back campaign within 7 days
1012,Lost,1811,1,54,21.51,1,1,1,111,1,Social,China,Suppress — flag for quarterly review
1013,Promising,68,3,308,122.46,5,5,3,553,0,Offline,Japan,Cross-sell — travel rewards / premium product
1014,Promising,164,4,1120,445.54,5,5,4,554,0,Social,Australia,Cross-sell — travel rewards / premium product
1015,At-Risk,21,2,1270,505.97,5,3,4,534,0,Offline,China,Win-back campaign within 7 days
1016,Lost,1807,1,540,215.14,1,1,4,114,1,Other,China,Suppress — flag for quarterly review
1017,Lost,1806,1,1600,637.44,1,1,4,114,1,Social,China,Suppress — flag for quarterly review
1018,Lost,1805,1,72,28.68,1,1,1,111,1,Other,India,Suppress — flag for quarterly review
1019,At-Risk,140,2,980,391.61,5,3,4,534,0,Other,Italy,Win-back campaign within 7 days
1020,Lost,1803,1,100,39.84,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1021,At-Risk,91,2,1725,689.31,5,3,4,534,0,Social,Italy,Win-back campaign within 7 days
1022,At-Risk,34,2,300,119.88,5,3,3,533,0,Social,UK,Win-back campaign within 7 days
1023,At-Risk,317,2,190,76.15,4,3,2,432,0,Social,USA,Win-back campaign within 7 days
1024,Lost,1797,1,500,200.4,1,1,4,114,1,Other,China,Suppress — flag for quarterly review
1025,Promising,295,3,165,66.13,4,5,2,452,0,Social,Japan,Cross-sell — travel rewards / premium product
1026,Lost,1793,1,300,120.24,1,1,3,113,1,Search,China,Suppress — flag for quarterly review
1027,Promising,48,3,1990,799.18,5,5,4,554,0,Social,China,Cross-sell — travel rewards / premium product
1028,Lost,1791,1,4800,1935.36,1,1,5,115,1,Search,UK,Suppress — flag for quarterly review
1029,Lost,1790,1,180,72.58,1,1,2,112,1,Social,USA,Suppress — flag for quarterly review
1030,At-Risk,670,2,395,158.79,3,3,3,333,0,Other,UK,Win-back campaign within 7 days
1031,At-Risk,340,2,325,130.65,4,3,3,433,0,Offline,China,Win-back campaign within 7 days
1032,Champions,23,3,6190,2490.85,5,5,5,555,0,Search,Canada,Referral program + premium card upsell
1033,Lost,1788,1,140,56.45,1,1,2,112,1,Offline,Canada,Suppress — flag for quarterly review
1034,Lost,1788,1,270,108.86,1,1,3,113,1,Social,Spain,Suppress — flag for quarterly review
1035,Promising,52,3,4435,1788.19,5,5,5,555,0,Search,Spain,Cross-sell — travel rewards / premium product
1036,Lost,1785,1,100,40.32,1,1,1,111,1,Social,India,Suppress — flag for quarterly review
1037,At-Risk,74,2,2540,1024.13,5,3,5,535,0,Social,Japan,Win-back campaign within 7 days
1038,At-Risk,130,2,175,70.56,5,3,2,532,0,Social,Canada,Win-back campaign within 7 days
1039,At-Risk,582,2,180,72.58,3,3,2,332,0,Offline,Spain,Win-back campaign within 7 days
1040,At-Risk,237,2,3100,1253.64,5,3,5,535,0,Social,UK,Win-back campaign within 7 days
1041,At-Risk,728,2,102,41.25,3,3,2,332,0,Search,India,Win-back campaign within 7 days
1042,Lost,1779,1,360,146.02,1,1,3,113,1,Social,Spain,Suppress — flag for quarterly review
1043,Lost,1779,1,2400,973.44,1,1,5,115,1,Offline,China,Suppress — flag for quarterly review
1044,Lost,1776,1,40,16.22,1,1,1,111,1,Other,India,Suppress — flag for quarterly review
1045,At-Risk,559,2,255,103.43,3,3,3,333,0,Other,India,Win-back campaign within 7 days
1046,Champions,1773,1,9000,3650.4,1,1,5,115,1,Social,Spain,Referral program + premium card upsell
1047,At-Risk,188,2,70,28.39,5,3,1,531,0,Search,China,Win-back campaign within 7 days
1048,Lost,1773,1,280,113.57,1,1,3,113,1,Social,Japan,Suppress — flag for quarterly review
1049,Lost,1771,1,800,324.48,1,1,4,114,1,Search,Spain,Suppress — flag for quarterly review
1050,At-Risk,78,2,360,146.45,5,3,3,533,0,Other,Australia,Win-back campaign within 7 days
1051,At-Risk,108,2,2550,1037.34,5,3,5,535,0,Social,India,Win-back campaign within 7 days
1052,Lost,1769,1,100,40.8,1,1,1,111,1,Social,Canada,Suppress — flag for quarterly review
1053,Lost,1769,1,75,30.6,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1054,Promising,82,4,555,225.77,5,5,4,554,0,Other,Australia,Cross-sell — travel rewards / premium product
1055,Lost,1767,1,2400,979.2,1,1,5,115,1,Social,Australia,Suppress — flag for quarterly review
1056,Lost,1765,1,100,40.8,1,1,1,111,1,Social,UK,Suppress — flag for quarterly review
1057,Lost,1764,1,90,36.72,1,1,1,111,1,Search,Canada,Suppress — flag for quarterly review
1058,Lost,1764,1,75,30.6,1,1,1,111,1,Offline,Italy,Suppress — flag for quarterly review
1059,Promising,239,3,548,224.03,4,5,4,454,0,Social,China,Cross-sell — travel rewards / premium product
1060,At-Risk,282,2,3070,1256.24,4,3,5,435,0,Social,Italy,Win-back campaign within 7 days
1061,Champions,705,2,7200,2946.24,3,3,5,335,0,Search,Canada,Referral program + premium card upsell
1062,Lost,1761,1,40,16.32,1,1,1,111,1,Social,Spain,Suppress — flag for quarterly review
1063,Lost,1759,1,140,57.46,1,1,2,112,1,Social,Australia,Suppress — flag for quarterly review
1064,At-Risk,727,2,580,237.34,3,3,4,334,0,Offline,Australia,Win-back campaign within 7 days
1065,Lost,1757,1,140,57.46,1,1,2,112,1,Search,Japan,Suppress — flag for quarterly review
1066,Lost,1755,1,400,164.16,1,1,3,113,1,Search,Japan,Suppress — flag for quarterly review
1067,Lost,1754,1,140,57.46,1,1,2,112,1,Search,Japan,Suppress — flag for quarterly review
1068,At-Risk,132,2,2416,991.53,5,3,5,535,0,Offline,China,Win-back campaign within 7 days
1069,Lost,1753,1,108,44.32,1,1,2,112,1,Social,India,Suppress — flag for quarterly review
1070,Lost,1752,1,210,86.18,1,1,2,112,1,Offline,India,Suppress — flag for quarterly review
1071,Promising,468,3,1725,710.7,4,5,4,454,0,Social,Japan,Cross-sell — travel rewards / premium product
1072,Promising,301,3,1890,778.68,4,5,4,454,0,Other,India,Cross-sell — travel rewards / premium product
1073,At-Risk,416,2,2518,1036.41,4,3,5,435,0,Social,Italy,Win-back campaign within 7 days
1074,Lost,1747,1,70,28.9,1,1,1,111,1,Social,India,Suppress — flag for quarterly review
1076,Lost,1746,1,35,14.45,1,1,1,111,1,Social,UK,Suppress — flag for quarterly review
1077,At-Risk,676,2,80,33.02,3,3,1,331,0,Social,India,Win-back campaign within 7 days
1078,At-Risk,311,2,228,94.12,4,3,2,432,0,Other,Australia,Win-back campaign within 7 days
1079,Champions,632,3,9800,4045.44,3,5,5,355,0,Social,Spain,Referral program + premium card upsell
1080,Lost,1745,1,25,10.32,1,1,1,111,1,Social,Canada,Suppress — flag for quarterly review
1081,Champions,375,2,6100,2518.08,4,3,5,435,0,Search,USA,Referral program + premium card upsell
1082,Champions,299,2,7340,3029.95,4,3,5,435,0,Other,UK,Referral program + premium card upsell
1083,At-Risk,117,2,2400,990.72,5,3,5,535,0,Social,India,Win-back campaign within 7 days
1084,At-Risk,87,2,3072,1268.12,5,3,5,535,0,Social,Spain,Win-back campaign within 7 days
1085,Lost,1740,1,50,20.64,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1086,Champions,235,2,9150,3788.1,5,3,5,535,0,Other,India,Referral program + premium card upsell
1087,At-Risk,264,2,230,95.22,4,3,3,433,0,Social,Italy,Win-back campaign within 7 days
1088,Lost,1738,1,100,41.52,1,1,1,111,1,Social,Australia,Suppress — flag for quarterly review
1089,At-Risk,145,2,480,198.72,5,3,4,534,0,Search,China,Win-back campaign within 7 days
1090,Lost,1737,1,90,37.37,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1091,Lost,1736,1,420,174.38,1,1,3,113,1,Social,India,Suppress — flag for quarterly review
1092,Lost,1735,1,150,62.28,1,1,2,112,1,Social,India,Suppress — flag for quarterly review
1093,At-Risk,448,2,310,128.71,4,3,3,433,0,Social,India,Win-back campaign within 7 days
1094,Lost,1735,1,40,16.61,1,1,1,111,1,Social,Italy,Suppress — flag for quarterly review
1095,At-Risk,548,2,495,205.52,3,3,4,334,0,Social,China,Win-back campaign within 7 days
1096,Lost,1733,1,800,332.16,1,1,4,114,1,Social,USA,Suppress — flag for quarterly review
1097,Lost,1733,1,30,12.46,1,1,1,111,1,Search,India,Suppress — flag for quarterly review
1098,Lost,1732,1,160,66.43,1,1,2,112,1,Social,India,Suppress — flag for quarterly review
1099,At-Risk,398,2,410,170.72,4,3,3,433,0,Other,Italy,Win-back campaign within 7 days
1100,At-Risk,228,2,510,212.36,5,3,4,534,0,Social,USA,Win-back campaign within 7 days
1101,At-Risk,166,2,52,21.65,5,3,1,531,0,Social,UK,Win-back campaign within 7 days
1102,At-Risk,293,2,445,185.3,4,3,3,433,0,Social,India,Win-back campaign within 7 days
1103,Lost,1727,1,75,31.32,1,1,1,111,1,Social,China,Suppress — flag for quarterly review
1104,Lost,1725,1,500,208.8,1,1,4,114,1,Social,Australia,Suppress — flag for quarterly review
1105,Lost,1723,1,48,20.04,1,1,1,111,1,Offline,India,Suppress — flag for quarterly review
1106,At-Risk,147,2,310,129.46,5,3,3,533,0,Social,Canada,Win-back campaign within 7 days
1107,Lost,1722,1,4500,1879.2,1,1,5,115,1,Offline,China,Suppress — flag for quarterly review
1108,Promising,13,3,563,235.56,5,5,4,554,0,Search,Australia,Cross-sell — travel rewards / premium product
1109,Lost,1721,1,15,6.26,1,1,1,111,1,Offline,Canada,Suppress — flag for quarterly review
1110,Promising,358,3,705,294.97,4,5,4,454,0,Social,Australia,Cross-sell — travel rewards / premium product
1111,Champions,438,2,6600,2764.08,4,3,5,435,0,Social,Spain,Referral program + premium card upsell
1112,Lost,1720,1,400,167.04,1,1,3,113,1,Social,Australia,Suppress — flag for quarterly review
1113,Lost,1719,1,240,100.8,1,1,3,113,1,Other,Japan,Suppress — flag for quarterly review
1114,Champions,137,3,7555,3167.05,5,5,5,555,0,Search,Canada,Referral program + premium card upsell
1115,Lost,1719,1,50,21.0,1,1,1,111,1,Search,UK,Suppress — flag for quarterly review
1116,At-Risk,628,2,2015,843.88,3,3,4,334,0,Offline,Italy,Win-back campaign within 7 days
1117,Lost,1719,1,150,63.0,1,1,2,112,1,Social,USA,Suppress — flag for quarterly review
1118,Lost,1717,1,150,63.0,1,1,2,112,1,Offline,Australia,Suppress — flag for quarterly review
1119,Lost,1715,1,90,37.8,1,1,1,111,1,Social,UK,Suppress — flag for quarterly review
1120,Lost,1713,1,160,67.2,1,1,2,112,1,Social,USA,Suppress — flag for quarterly review
1121,Champions,113,2,9140,3838.8,5,3,5,535,0,Offline,USA,Referral program + premium card upsell
1122,Promising,460,3,372,156.54,4,5,3,453,0,Social,USA,Cross-sell — travel rewards / premium product
1123,Lost,1709,1,75,31.68,1,1,1,111,1,Offline,Italy,Suppress — flag for quarterly review
1124,Lost,1709,1,1200,506.88,1,1,4,114,1,Search,Japan,Suppress — flag for quarterly review
1125,Champions,55,3,4915,2072.16,5,5,5,555,0,Social,Australia,Referral program + premium card upsell
1126,Lost,1707,1,60,25.34,1,1,1,111,1,Social,Canada,Suppress — flag for quarterly review
1127,Champions,607,2,4960,2089.15,3,3,5,335,0,Other,USA,Referral program + premium card upsell
1128,At-Risk,547,2,265,111.94,3,3,3,333,0,Search,Italy,Win-back campaign within 7 days
1129,At-Risk,509,2,258,108.98,4,3,3,433,0,Social,China,Win-back campaign within 7 days
1130,Champions,1705,1,7500,3168.0,1,1,5,115,1,Social,India,Referral program + premium card upsell
1131,At-Risk,457,2,552,233.83,4,3,4,434,0,Other,Canada,Win-back campaign within 7 days
1132,Promising,589,3,2670,1132.08,3,5,5,355,0,Offline,Australia,Cross-sell — travel rewards / premium product
1133,Lost,1698,1,175,74.34,1,1,2,112,1,Social,Canada,Suppress — flag for quarterly review
1134,Champions,271,2,4740,2013.55,4,3,5,435,0,Other,Spain,Referral program + premium card upsell
1135,At-Risk,346,2,165,70.09,4,3,2,432,0,Other,Spain,Win-back campaign within 7 days
1136,At-Risk,80,2,580,246.38,5,3,4,534,0,Social,Italy,Win-back campaign within 7 days
1137,At-Risk,523,2,1590,675.43,4,3,4,434,0,Social,Canada,Win-back campaign within 7 days
1138,Lost,1693,1,120,50.98,1,1,2,112,1,Social,Japan,Suppress — flag for quarterly review
1139,Lost,1692,1,100,42.48,1,1,1,111,1,Offline,Japan,Suppress — flag for quarterly review
1140,Lost,1689,1,150,64.08,1,1,2,112,1,Social,Spain,Suppress — flag for quarterly review
1141,Lost,1689,1,15,6.41,1,1,1,111,1,Offline,Australia,Suppress — flag for quarterly review
1142,At-Risk,435,2,102,43.45,4,3,2,432,0,Other,UK,Win-back campaign within 7 days
1143,At-Risk,703,2,460,196.51,3,3,4,334,0,Offline,Australia,Win-back campaign within 7 days
1144,Lost,1684,1,240,102.53,1,1,3,113,1,Other,UK,Suppress — flag for quarterly review
1145,Lost,1684,1,80,34.18,1,1,1,111,1,Offline,India,Suppress — flag for quarterly review
1146,Lost,1683,1,300,128.16,1,1,3,113,1,Social,China,Suppress — flag for quarterly review
1147,Promising,246,3,350,149.8,4,5,3,453,0,Social,Japan,Cross-sell — travel rewards / premium product
1148,Lost,1681,1,160,68.35,1,1,2,112,1,Offline,India,Suppress — flag for quarterly review
1149,Champions,483,2,9150,3919.86,4,3,5,435,0,Social,Italy,Referral program + premium card upsell
1150,At-Risk,623,2,2400,1031.04,3,3,5,335,0,Social,USA,Win-back campaign within 7 days
1151,Lost,1676,1,250,107.4,1,1,3,113,1,Social,Japan,Suppress — flag for quarterly review
1152,Lost,1676,1,105,45.11,1,1,2,112,1,Social,Japan,Suppress — flag for quarterly review
1153,Lost,1675,1,32,13.75,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1154,Champions,1675,1,6000,2577.6,1,1,5,115,1,Social,China,Referral program + premium card upsell
1155,Lost,1673,1,180,77.33,1,1,2,112,1,Social,Australia,Suppress — flag for quarterly review
1156,Lost,1673,1,360,154.66,1,1,3,113,1,Social,Australia,Suppress — flag for quarterly review
1157,Lost,1673,1,400,171.84,1,1,3,113,1,Social,India,Suppress — flag for quarterly review
1158,Lost,1671,1,300,129.6,1,1,3,113,1,Social,China,Suppress — flag for quarterly review
1159,Lost,1670,1,54,23.33,1,1,1,111,1,Offline,Spain,Suppress — flag for quarterly review
1160,At-Risk,541,2,160,68.93,3,3,2,332,0,Social,UK,Win-back campaign within 7 days
1161,Champions,684,2,7440,3214.08,3,3,5,335,0,Social,Canada,Referral program + premium card upsell
1162,At-Risk,295,2,540,233.28,4,3,4,434,0,Social,India,Win-back campaign within 7 days
1163,At-Risk,616,2,435,187.92,3,3,3,333,0,Social,India,Win-back campaign within 7 days
1164,Lost,1666,1,2000,864.0,1,1,4,114,1,Search,Australia,Suppress — flag for quarterly review
1165,Promising,236,3,229,99.11,5,5,2,552,0,Offline,Spain,Cross-sell — travel rewards / premium product
1166,At-Risk,192,2,425,184.11,5,3,3,533,0,Offline,Italy,Win-back campaign within 7 days
1167,Lost,1663,1,400,172.8,1,1,3,113,1,Search,Australia,Suppress — flag for quarterly review
1168,Champions,323,2,6075,2631.69,4,3,5,435,0,Offline,China,Referral program + premium card upsell
1169,Lost,1661,1,105,45.61,1,1,2,112,1,Search,Italy,Suppress — flag for quarterly review
1170,At-Risk,348,2,350,151.62,4,3,3,433,0,Social,China,Win-back campaign within 7 days
1171,Champions,128,4,9540,4138.45,5,5,5,555,0,Offline,USA,Referral program + premium card upsell
1172,Lost,1659,1,75,32.58,1,1,1,111,1,Social,USA,Suppress — flag for quarterly review
1173,Lost,1659,1,16,6.95,1,1,1,111,1,Search,UK,Suppress — flag for quarterly review
1174,Lost,1658,1,120,52.13,1,1,2,112,1,Social,Spain,Suppress — flag for quarterly review
1175,At-Risk,727,2,320,139.01,3,3,3,333,0,Search,Canada,Win-back campaign within 7 days
1176,Champions,459,2,7240,3145.06,4,3,5,435,0,Other,USA,Referral program + premium card upsell
1177,Lost,1656,1,24,10.43,1,1,1,111,1,Search,UK,Suppress — flag for quarterly review
1178,Lost,1656,1,120,52.13,1,1,2,112,1,Social,Australia,Suppress — flag for quarterly review
1179,Lost,1655,1,24,10.43,1,1,1,111,1,Search,China,Suppress — flag for quarterly review
1180,Promising,108,3,2435,1059.72,5,5,5,555,0,Social,USA,Cross-sell — travel rewards / premium product
1181,Lost,1653,1,45,19.55,1,1,1,111,1,Search,India,Suppress — flag for quarterly review
1182,At-Risk,449,2,2535,1104.25,4,3,5,435,0,Other,Australia,Win-back campaign within 7 days
1183,Lost,1653,1,210,91.22,1,1,2,112,1,Offline,China,Suppress — flag for quarterly review
1184,Promising,460,3,530,231.51,4,5,4,454,0,Offline,USA,Cross-sell — travel rewards / premium product
1185,Lost,1648,1,1500,655.2,1,1,4,114,1,Social,Italy,Suppress — flag for quarterly review
1186,At-Risk,389,2,230,100.46,4,3,3,433,0,Social,Japan,Win-back campaign within 7 days
1187,Lost,1646,1,120,52.42,1,1,2,112,1,Offline,Japan,Suppress — flag for quarterly review
1188,Promising,43,3,440,192.9,5,5,3,553,0,Search,UK,Cross-sell — travel rewards / premium product
1189,At-Risk,457,2,480,210.24,4,3,4,434,0,Search,China,Win-back campaign within 7 days
1190,Lost,1642,1,450,197.64,1,1,3,113,1,Social,China,Suppress — flag for quarterly review
1191,Lost,1642,1,1500,658.8,1,1,4,114,1,Offline,UK,Suppress — flag for quarterly review
1192,Lost,1641,1,270,118.58,1,1,3,113,1,Social,Italy,Suppress — flag for quarterly review
1193,Lost,1639,1,50,21.96,1,1,1,111,1,Social,China,Suppress — flag for quarterly review
1194,At-Risk,208,2,425,187.17,5,3,3,533,0,Other,China,Win-back campaign within 7 days
1195,Lost,1637,1,350,153.72,1,1,3,113,1,Social,China,Suppress — flag for quarterly review
1196,Lost,1635,1,150,65.88,1,1,2,112,1,Other,Spain,Suppress — flag for quarterly review
1197,At-Risk,21,2,2105,927.04,5,3,5,535,0,Social,Japan,Win-back campaign within 7 days
1198,Promising,134,3,688,303.27,5,5,4,554,0,Offline,India,Cross-sell — travel rewards / premium product
1199,Lost,1631,1,140,61.82,1,1,2,112,1,Other,USA,Suppress — flag for quarterly review
1200,Lost,1631,1,300,132.48,1,1,3,113,1,Social,China,Suppress — flag for quarterly review
1201,Lost,1630,1,75,33.12,1,1,1,111,1,Social,Australia,Suppress — flag for quarterly review
